iter	Logloss
0	0.6815232944
1	0.670511817
2	0.6587522007
3	0.6489448088
4	0.6402751156
5	0.6321334466
6	0.6245218541
7	0.6176862192
8	0.6111393253
9	0.6042115558
10	0.5990496763
11	0.5936559046
12	0.5889875839
13	0.5846932399
14	0.580709486
15	0.5758747793
16	0.5721901839
17	0.5687129929
18	0.5658469965
19	0.5631557275
20	0.5599623768
21	0.5573610514
22	0.5548392731
23	0.5511399434
24	0.5492409496
25	0.5458347534
26	0.5435218211
27	0.5415244731
28	0.5399242847
29	0.5382150668
30	0.5354267578
31	0.532755387
32	0.5303000255
33	0.5288465149
34	0.527593634
35	0.5261770021
36	0.5249210015
37	0.5237015432
38	0.5222660997
39	0.520318275
40	0.5184587088
41	0.5173409451
42	0.516290316
43	0.5153584464
44	0.5144088042
45	0.5134348005
46	0.5125564181
47	0.5115885633
48	0.5108121557
49	0.5099628558
50	0.5091881204
51	0.5084323964
52	0.5068038033
53	0.5060884396
54	0.5053686881
55	0.504713625
56	0.5039890926
57	0.503456334
58	0.5027882351
59	0.5020940538
60	0.5010142901
61	0.5003786482
62	0.4992181797
63	0.4986309294
64	0.4972632
65	0.4966690784
66	0.4960448648
67	0.4955023118
68	0.4948427638
69	0.4925718183
70	0.491929982
71	0.4913054932
72	0.4901471582
73	0.4890412821
74	0.4883716307
75	0.487765655
76	0.4870546773
77	0.4864920798
78	0.485842131
79	0.4854339967
80	0.4849765355
81	0.4840185925
82	0.4834717799
83	0.4824472115
84	0.4817550309
85	0.4812992928
86	0.4805478418
87	0.4796831553
88	0.478937213
89	0.4783071233
90	0.4778187678
91	0.4773398908
92	0.4767909979
93	0.4765159229
94	0.4762128015
95	0.4758165499
96	0.4754218251
97	0.4748600096
98	0.4735680199
99	0.4731466328
100	0.4727409024
101	0.4723716577
102	0.4718775438
103	0.4714895207
104	0.4711030827
105	0.4697322633
106	0.4692783855
107	0.4690075602
108	0.4686046962
109	0.4675568293
110	0.4670409306
111	0.4666570643
112	0.4660039589
113	0.4650876303
114	0.4646741134
115	0.4636810761
116	0.463281545
117	0.4630470694
118	0.462662227
119	0.462223308
120	0.4618529349
121	0.4613094982
122	0.4610648016
123	0.460638565
124	0.4604298567
125	0.4601740232
126	0.4597992896
127	0.4594910699
128	0.4591824955
129	0.4588807511
130	0.4585003994
131	0.458155445
132	0.457300912
133	0.456956035
134	0.4567007801
135	0.4559291453
136	0.4557042759
137	0.4554534589
138	0.455111358
139	0.4547679229
140	0.4540639308
141	0.4533833263
142	0.4528468032
143	0.4525205189
144	0.4523317798
145	0.451892066
146	0.4516661919
147	0.4507012229
148	0.4504317661
149	0.4501182928
150	0.4497668971
151	0.4494653488
152	0.4489659293
153	0.4486988492
154	0.4484076016
155	0.4480954787
156	0.4478766787
157	0.4463016088
158	0.446106525
159	0.4444038659
160	0.4436037034
161	0.4430623705
162	0.4419754149
163	0.4417188845
164	0.4414560602
165	0.4410696014
166	0.4408052441
167	0.440631978
168	0.4401522017
169	0.4387193231
170	0.4376072649
171	0.4372763384
172	0.436778739
173	0.4364232064
174	0.4358630828
175	0.4356063835
176	0.4353484621
177	0.4350659433
178	0.4348039452
179	0.4340065989
180	0.4335810988
181	0.4333380819
182	0.4319682748
183	0.4317639891
184	0.4312344967
185	0.4309983853
186	0.4308030611
187	0.4305908708
188	0.4297405973
189	0.4292387981
190	0.4285792732
191	0.4283630187
192	0.4281615506
193	0.4274034377
194	0.4271627035
195	0.4258671559
196	0.4252461533
197	0.4245227391
198	0.424377058
199	0.4241309929
200	0.423986802
201	0.4238147952
202	0.4236482228
203	0.4235173978
204	0.4226704982
205	0.4224376635
206	0.422212916
207	0.421462042
208	0.4212603481
209	0.4210983519
210	0.420907156
211	0.4207554459
212	0.4205271721
213	0.4203700913
214	0.4201731331
215	0.4200013696
216	0.419741033
217	0.4196208286
218	0.4194238044
219	0.4191911059
220	0.418979841
221	0.4185980192
222	0.4184727402
223	0.41825678
224	0.4176703881
225	0.4174770081
226	0.4173508181
227	0.4171596041
228	0.4169451865
229	0.4164841622
230	0.4163135237
231	0.4161829706
232	0.4157158397
233	0.4145235197
234	0.4144154356
235	0.4139016566
236	0.4132142609
237	0.4117117746
238	0.4115061159
239	0.4113358827
240	0.4111081179
241	0.4108633253
242	0.4100437391
243	0.4098610107
244	0.4097300039
245	0.4095986373
246	0.4093378689
247	0.4091329785
248	0.4089645964
249	0.4087942605
250	0.4084396081
251	0.4082822181
252	0.4070342239
253	0.4067563056
254	0.4065509769
255	0.4063506732
256	0.4062260324
257	0.4060638852
258	0.4058629548
259	0.4056536401
260	0.4054689015
261	0.4052469419
262	0.4049023553
263	0.4045237669
264	0.4042853242
265	0.4040782252
266	0.4031028937
267	0.4029276952
268	0.4026849788
269	0.4005333153
270	0.3983207284
271	0.3964979821
272	0.3963215072
273	0.3961756053
274	0.3959753001
275	0.3945913855
276	0.3944011702
277	0.3942204971
278	0.3928595308
279	0.3923948538
280	0.3915818108
281	0.3914147599
282	0.3912246886
283	0.3898572836
284	0.3889082642
285	0.3879476371
286	0.3877734957
287	0.3865440624
288	0.3857158104
289	0.3847124596
290	0.3839959717
291	0.3837837118
292	0.3828097113
293	0.3821969499
294	0.382050382
295	0.3818731171
296	0.3812601339
297	0.3809250432
298	0.3806962792
299	0.3805442458
300	0.3803428838
301	0.3800927904
302	0.3795534964
303	0.3793636114
304	0.379204073
305	0.3790617776
306	0.3781387171
307	0.3770343105
308	0.3767487146
309	0.3765911481
310	0.3764010639
311	0.3762510954
312	0.3758147783
313	0.3755570236
314	0.3751857943
315	0.3749418368
316	0.3741002961
317	0.3735217465
318	0.3733548212
319	0.3722411062
320	0.3720171296
321	0.371217437
322	0.3695780451
323	0.3681045711
324	0.3663960113
325	0.3646740639
326	0.3641674757
327	0.3637829246
328	0.3631261963
329	0.3617052987
330	0.3613160955
331	0.360770333
332	0.3601803489
333	0.3595471368
334	0.358645354
335	0.3581672742
336	0.3573614131
337	0.3572000418
338	0.3566970961
339	0.3561828148
340	0.3558254219
341	0.3553986302
342	0.355217874
343	0.3548957912
344	0.3545702626
345	0.3537528752
346	0.3532695037
347	0.352966762
348	0.3528031886
349	0.3523996703
350	0.3522516246
351	0.352068678
352	0.3519266274
353	0.3516406291
354	0.3514953549
355	0.3513297428
356	0.3511889244
357	0.350771729
358	0.3506279883
359	0.3503277098
360	0.3501782733
361	0.3500025497
362	0.34989175
363	0.3497916918
364	0.349638376
365	0.3495466067
366	0.3487115761
367	0.3485694382
368	0.3484706708
369	0.3483307963
370	0.3477694378
371	0.3475698225
