iter	Passed	Remaining
0	4	4416
1	8	4400
2	13	4353
3	17	4389
4	21	4373
5	26	4341
6	30	4325
7	34	4300
8	38	4276
9	43	4261
10	47	4253
11	51	4264
12	56	4273
13	91	6467
14	101	6684
15	106	6549
16	111	6438
17	115	6304
18	120	6196
19	123	6073
20	128	5977
21	132	5879
22	136	5801
23	140	5726
24	144	5650
25	148	5580
26	153	5529
27	157	5468
28	161	5421
29	165	5366
30	170	5319
31	174	5268
32	178	5224
33	182	5189
34	186	5154
35	191	5118
36	195	5088
37	199	5053
38	204	5039
39	209	5022
40	213	5002
41	218	4973
42	222	4944
43	226	4912
44	230	4891
45	234	4864
46	238	4839
47	243	4820
48	247	4800
49	251	4777
50	255	4752
51	259	4733
52	264	4719
53	269	4712
54	273	4698
55	277	4680
56	281	4661
57	285	4644
58	290	4625
59	294	4618
60	299	4605
61	303	4588
62	307	4576
63	311	4562
64	316	4545
65	320	4534
66	325	4526
67	329	4513
68	333	4501
69	337	4486
70	342	4475
71	346	4462
72	350	4449
73	354	4433
74	359	4428
75	363	4424
76	368	4418
77	372	4404
78	376	4395
79	381	4382
80	385	4371
81	389	4358
82	393	4348
83	398	4342
84	403	4339
85	407	4328
86	411	4318
87	415	4306
88	419	4295
89	423	4285
90	428	4275
91	432	4264
92	436	4255
93	440	4244
94	444	4234
95	448	4222
96	453	4221
97	458	4216
98	462	4210
99	467	4211
100	472	4207
101	476	4198
102	481	4190
103	485	4180
104	489	4171
105	493	4161
106	497	4152
107	501	4141
108	505	4134
109	509	4125
110	514	4116
111	518	4107
112	522	4097
113	526	4090
114	530	4085
115	535	4080
116	539	4072
117	543	4063
118	547	4055
119	552	4050
120	556	4045
121	561	4040
122	565	4032
123	569	4024
124	573	4015
125	577	4007
126	582	4001
127	586	3992
128	590	3985
129	594	3978
130	599	3974
131	603	3971
132	608	3968
133	612	3960
134	617	3953
135	621	3946
136	625	3938
137	629	3931
138	633	3924
139	637	3918
140	642	3912
141	646	3903
142	650	3897
143	654	3889
144	658	3884
145	663	3883
146	668	3880
147	673	3874
148	677	3868
149	682	3866
150	687	3862
151	691	3858
152	696	3858
153	701	3855
154	706	3851
155	710	3845
156	715	3843
157	720	3837
158	724	3832
159	728	3825
160	732	3818
161	736	3811
162	741	3805
163	745	3800
164	750	3798
165	755	3793
166	759	3789
167	764	3785
168	768	3778
169	772	3772
170	776	3766
171	781	3761
172	785	3757
173	789	3749
174	794	3744
175	798	3738
176	803	3733
177	807	3728
178	811	3721
179	816	3719
180	820	3714
181	825	3711
182	830	3706
183	834	3700
184	838	3695
185	843	3690
186	847	3683
187	852	3681
188	857	3677
189	862	3675
190	866	3671
191	871	3666
192	875	3660
193	880	3656
194	884	3651
195	889	3646
196	893	3641
197	897	3636
198	902	3632
199	907	3629
200	912	3627
201	917	3625
202	923	3624
203	928	3623
204	933	3621
205	939	3621
206	945	3622
207	951	3622
208	956	3619
209	961	3617
210	967	3616
211	971	3611
212	975	3605
213	980	3602
214	985	3596
215	989	3591
216	994	3586
217	998	3580
218	1002	3574
219	1006	3568
220	1010	3563
221	1015	3557
222	1019	3551
223	1023	3544
224	1027	3538
225	1031	3532
226	1035	3526
227	1039	3520
228	1044	3515
229	1048	3511
230	1053	3506
231	1057	3501
232	1061	3495
233	1066	3490
234	1070	3483
235	1074	3478
236	1078	3472
237	1083	3468
238	1088	3467
239	1093	3461
240	1097	3456
241	1101	3450
242	1105	3444
243	1110	3439
244	1114	3433
245	1119	3429
246	1123	3425
247	1127	3419
248	1131	3413
249	1136	3408
250	1140	3403
251	1144	3397
252	1148	3391
253	1152	3385
254	1157	3380
255	1161	3375
256	1165	3370
257	1170	3366
258	1174	3361
259	1179	3356
260	1183	3350
261	1187	3346
262	1192	3341
263	1197	3338
264	1201	3332
265	1206	3328
266	1210	3323
267	1214	3317
268	1218	3312
269	1223	3307
270	1227	3302
271	1231	3297
272	1235	3291
273	1240	3286
274	1243	3279
275	1247	3273
276	1252	3268
277	1256	3262
278	1260	3258
279	1265	3254
280	1270	3249
281	1274	3243
282	1277	3237
283	1282	3232
284	1286	3227
285	1290	3222
286	1295	3217
287	1299	3212
288	1303	3207
289	1307	3201
290	1311	3196
291	1315	3190
292	1320	3186
293	1325	3182
294	1329	3178
295	1334	3174
296	1339	3170
297	1343	3165
298	1348	3161
299	1352	3156
300	1357	3152
301	1362	3148
302	1367	3144
303	1371	3140
304	1376	3136
305	1380	3130
306	1384	3125
307	1388	3120
308	1393	3115
309	1397	3111
310	1402	3107
311	1406	3102
312	1410	3096
313	1414	3091
314	1419	3085
315	1423	3080
316	1427	3075
317	1431	3070
318	1435	3065
319	1439	3059
320	1444	3054
321	1448	3049
322	1452	3045
323	1457	3041
324	1462	3037
325	1467	3033
326	1471	3027
327	1475	3022
328	1479	3016
329	1483	3011
330	1487	3006
331	1492	3002
332	1496	2998
333	1501	2993
334	1505	2987
335	1509	2982
336	1513	2977
337	1518	2973
338	1522	2968
339	1526	2963
340	1530	2958
341	1534	2952
342	1538	2947
343	1542	2941
344	1547	2937
345	1552	2934
346	1556	2929
347	1560	2924
348	1565	2919
349	1569	2914
350	1573	2908
351	1577	2903
352	1581	2898
353	1585	2893
354	1589	2888
355	1594	2883
356	1598	2878
357	1602	2873
358	1606	2868
359	1611	2864
360	1615	2860
361	1620	2856
362	1624	2851
363	1628	2846
364	1633	2841
365	1637	2836
366	1641	2830
367	1645	2825
368	1649	2820
369	1653	2815
370	1657	2810
371	1661	2805
372	1665	2800
373	1669	2795
374	1674	2790
375	1678	2785
376	1683	2781
377	1687	2777
378	1691	2772
